of_gls,of_time_domain,empca_rank1,rq_of_ampl_0,resid_of,resid_empca_rank1
10408.278793461426,10408.281240692135,10408.172609388977,10410.323091655886,5772550416381549.0,5784582450791719.0
10414.032078745873,10414.03440746244,10413.914766121268,10414.276386780988,5663572110048519.0,5677968917158025.0
10427.648308587492,10427.64805554911,10427.54780528792,10427.208465445407,5608757954880733.0,5619584490365620.0
10406.110180267351,10406.110525810354,10406.023568840199,10409.189429711996,5723128802984565.0,5731006040904748.0
10413.391700798216,10413.389631812473,10413.261542776008,10413.627734186717,5744901586967933.0,5762026613728165.0
10393.469775448022,10393.472595464096,10393.353980745509,10396.636426658479,5730367016244607.0,5744434331876907.0
10393.557737578767,10393.560746836456,10393.44667983555,10393.679183529264,5683569400173114.0,5696632496227030.0
10412.411131234066,10412.411808656128,10412.31644756483,10412.603585104132,5748775517435181.0,5758365607442686.0
10410.663106633014,10410.664621778324,10410.57109529394,10410.982711943918,5835064702610227.0,5844087472656101.0
10417.145316046273,10417.145773438191,10417.004595929655,10417.1260379794,5704312900246494.0,5723684579466264.0
10401.755902130122,10401.756157937793,10401.661959321313,10402.301702308467,5724564096538739.0,5733997937837846.0
10412.150478480366,10412.151341749277,10412.076756408533,10412.702652194537,5739130077363752.0,5744268305378520.0
10411.00711383696,10411.005764892869,10410.925527007785,10413.352393822444,5686384293799223.0,5693193270316261.0
10414.50951296724,10414.508533984608,10414.417558629839,10414.52162909651,5737099899336471.0,5746110007308758.0
10404.555857905925,10404.557680638953,10404.412439076707,10404.807332839446,5832263674149820.0,5852197390589349.0
10389.359706265728,10389.356489630862,10389.29103095553,10388.056281286883,5728389044732160.0,5732469499167313.0
10394.870342152795,10394.871502236629,10394.76878204888,10396.153434635506,5760264499859599.0,5771314137389101.0
10412.450705312374,10412.448936092129,10412.329810452044,10413.141352321774,5717263426064122.0,5732420469733619.0
10407.831033257828,10407.830939056843,10407.719625995322,10408.017055481083,5831260091862926.0,5844400914361264.0
10415.258766602257,10415.257752020212,10415.168271905302,10414.305637097226,5757523258264170.0,5766223162245008.0
10394.913137902246,10394.914663369851,10394.792862143911,10391.961765525917,5782733639227309.0,5797751573726531.0
10402.646000637882,10402.64798901741,10402.541247940253,10400.89233576187,5736039759255747.0,5747767246103077.0
10399.201040686476,10399.199697039889,10399.08510181628,10399.499194663567,5671632225165904.0,5685732095624421.0
10399.330227575685,10399.330077947005,10399.228629158826,10400.495808697246,5750435031028691.0,5761493036226196.0
10391.41411845379,10391.414262676182,10391.318222997805,10393.810047486997,5721973242909551.0,5731822014481751.0
10410.025557451429,10410.02748991717,10409.904654635233,10410.756989478956,5685005564298574.0,5700163216638886.0
10394.114694070993,10394.113309343857,10394.010782909125,10395.560260188533,5693754887704394.0,5705302942803860.0
10415.002829750078,10415.004186697242,10414.915827111583,10414.926351082426,5779841073301997.0,5787799165712987.0
10403.17126038301,10403.173301157618,10403.086663151851,10400.518271586234,5731110082699753.0,5738560650593861.0
10382.906593881358,10382.907142645083,10382.783652038803,10384.076432005395,5719292295756319.0,5734869617997308.0
10409.1232317678,10409.12492901134,10409.01567261671,10411.2617346297,5733665262244978.0,5745989377642069.0
10390.929826956135,10390.928470377878,10390.81577828804,10390.309608952017,5747728459771135.0,5761424827415829.0
10402.972582729253,10402.971857074404,10402.864590572945,10400.810741251506,5724815736998057.0,5737230660148411.0
10427.492145148974,10427.4913570488,10427.374046586594,10427.853713968017,5763757572794357.0,5778326534604741.0
10405.19913009015,10405.198320464466,10405.102725304198,10406.685706212433,5689860758737044.0,5699816778853412.0
10416.648983468329,10416.646344834418,10416.543729406685,10417.10345206688,5746355363613093.0,5758191010906448.0
