of_amp_gls,of_amp_td,emp_amp_scaled,resid_of,resid_emp
8422.475509982125,8422.471531280986,8421.554133797432,5.340754949189372e+17,1.107965395323056e+18
8424.97856456041,8424.975738665878,8421.322673578687,5.350195251594677e+17,1.1092506497253874e+18
8439.242826198102,8439.242478848402,8441.064336607866,5.3575564735465254e+17,1.1119327340186246e+18
8436.713607612866,8436.712140369093,8436.366713874897,5.359387421118992e+17,1.1117705767809245e+18
8421.674311910305,8421.672029839614,8418.545672662269,5.337138534113573e+17,1.107494629672067e+18
8437.470917874956,8437.470082273085,8436.84509218276,5.354625952845814e+17,1.1113978190473128e+18
8423.957729370128,8423.956549175193,8422.215240026399,5.343994880700974e+17,1.1084914172288938e+18
8416.637076911387,8416.634655899848,8414.706368452722,5.332250256347295e+17,1.1063195894858474e+18
8434.409938394616,8434.4064624963,8434.309406375089,5.350140722294277e+17,1.1105314786115485e+18
8436.392173231034,8436.39081663379,8438.71471297093,5.360773958193173e+17,1.1118652873811676e+18
8425.5252203995,8425.524695993367,8426.64728075774,5.343502696951357e+17,1.10865579656408e+18
8430.652600354266,8430.649024744518,8426.905670701408,5.3491019637165677e+17,1.1099150473823899e+18
8435.821459913694,8435.820800459545,8435.960832577564,5.352660061866404e+17,1.1109760515589934e+18
8423.373765444161,8423.370140104038,8423.234025554273,5.342138482392954e+17,1.108226146334236e+18
8421.863354874897,8421.86254523713,8422.310474645301,5.33799017551463e+17,1.1076054651930172e+18
8419.697586162269,8419.694307036516,8419.044897999147,5.3382343036289965e+17,1.1073348226983985e+18
8432.014281510199,8432.012845992545,8435.886239915502,5.349778623719613e+17,1.1101682840643379e+18
8419.709741567314,8419.706917327794,8419.608180892275,5.3362406350691155e+17,1.1071370981551734e+18
8437.38668273203,8437.384048524738,8433.93754286772,5.357530349727933e+17,1.1116768290979949e+18
8411.958767568154,8411.956677553302,8407.042979188653,5.3272970205860794e+17,1.1051874181747354e+18
8439.349623947839,8439.345628582101,8441.824628112972,5.357941389824169e+17,1.1119857924586853e+18
8459.284868605033,8459.282320758819,8462.543812331549,5.3814197954372384e+17,1.1170589630715278e+18
8444.121731304107,8444.119802079982,8445.821353075717,5.361647523534474e+17,1.1130082350058152e+18
8434.576865109777,8434.577303643047,8434.76813751784,5.3510402886881363e+17,1.110644208555099e+18
8436.428515450092,8436.427616737874,8433.943756999906,5.360185270378819e+17,1.1118114984883427e+18
8441.318027235993,8441.318219090554,8437.070345651578,5.3638616406631264e+17,1.1128467987410693e+18
8440.24847702863,8440.249084590325,8441.826010383073,5.354016353750387e+17,1.111716054985273e+18
